documento,estadoReserva,PersonasEsperadas,fechaLlegada,fechaSalida
************************************************
nombre,documento,correo,numeroCelular
************************************************
1000613998,terminado,1,01/01/2023,08/01/2023
************************************************
Alberto Suarez,1000613998,ASuarez@gmail.com,3138754234
************************************************
1000300585,terminado,2,27/01/2023,02/03/2023
************************************************
Juan Perez,1000300585,juanPerez97@hotmail.com,3215673596
Rosa Torres,1100600789,rosiRosa@gmail.com,3138672546
************************************************
51467642,checked,3,02/04/2023,07/04/2023
************************************************
Luisa Gomez,51467642,L.gomez@gmail.com,3134567345
Roberto Murcia,67984526,R.Murcia@hotmail.com,3196934256
Marco Murcia,1000245669,M.Murcia@gmail.com,3193949678
************************************************
1101745923,checked,6,29/03/2023,07/04/2023
************************************************
Antonio Gordillo,1101745923,antonio2003@gmail.com,3137895634
Andres Feuillet,1234567890,aFefefe@hotmail.com,3195467890
Francisco Arteaga,1987654321,fafafafa@gmail.com,3215698734
Santiago Castaño,79829191,santiamor@hotmail.com,3039845634
Emilio Gonzalez,89562865,goobsales@gmail.com,3138674562
Santiago Torres,89599465,santiTowers2376@gmail.com,3045678935
************************************************
79155453,reservado,4,25/04/2023,04/05/2023
************************************************
Luis Jaramillo,79155453,LuiJara456@gmail.com,3457739244
************************************************
78873555,reservado,2,19/04/2023,22/04/2023
************************************************
Pepe Sierra Cuarto,78873555,pepeElCuarto@hotmail.com,3457899244
************************************************
85838974,cancelado,2,03/05/2023,05/05/2023
************************************************
Johan Kok,85838974,J.KokR@gmail.com,1950087242
************************************************
