documento,estadoReserva,PersonasEsperadas,fechaLlegada,fechaSalida
************************************************
nombre,documento,correo,numeroCelular
************************************************
1101745923,checked,6,29/03/2023,07/04/2023
************************************************
Antonio Gordillo,1101745923,antonio2003@gmail.com,3137895634
Andres Feuillet,1234567890,aFefefe@hotmail.com,3195467890
Francisco Arteaga,1987654321,fafafafa@gmail.com,3215698734
Santiago Castaño,79829191,santiamor@hotmail.com,3039845634
Emilio Gonzalez,89562865,goobsales@gmail.com,3138674562
Santiago Torres,89599465,santiTowers2376@gmail.com,3045678935
************************************************
